,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
0,o,I am always very hungry before I go to bed. I am,concerned that this is an illness.,glad that I do not have a kitchen.,fearful that there are monsters under my bed.,tempted to snack when I feel this way.,4,3,3,"['illness', 'kitchen', 'fearful', 'way']",2,2,"[' concerned', ' kitchen', ' fearful', ' tempted']",1,1,"['concerned', 'a', 'fearful', 'tempted']"
1,o,I am feeling nervous about my midterm tomorrow. I fear that,the professor will delay the midterm.,I will doodle on my exam and receive points for it.,my grandpa has diabetes.,I will fail.,4,2,3,"['midterm', 'doodle', 'diabetes', 'fail']",4,4,"[' delay', 'od', ' diabetes', ' fail']",4,4,"['midterm', 'doodle', 'grandpa', 'fail']"
2,o,My brother is very good at math. He,has a watermelon in his shirt.,is flying out the window.,looks like Billy Bob Buddle.,won a math competition when he was 5.,4,4,2,"['watermelon', 'flying', 'buddle', '5']",4,4,"[' water', ' flying', ' Budd', ' won']",2,2,"['watermelon', 'flying', 'Buddle', 'a']"
3,o,I feel sickly. I think,I will have a great time.,I will see my brother at the casino.,I will fly out the window.,I will not go to school today.,4,3,3,"['time', 'casino', 'window', 'today']",1,1,"[' great', ' casino', ' fly', ' today']",4,3,"['a', 'casino', 'fly', 'today']"
4,o,I am feeling hungry. I think I will,call my mother.,have some ravioli.,fly out the window.,go on a run outside.,2,3,3,"['mother', 'ravioli', 'window', 'outside']",1,1,"[' call', ' rav', ' fly', ' outside']",3,3,"['call', 'ravioli', 'fly', 'a']"
5,o,Today my classmate asked an intriguing question. He,has a deep understanding of the material.,is really good at soccer.,is secretly the teacher.,stood upside down.,1,1,4,"['material', 'soccer', 'teacher', 'down']",1,2,"[' material', ' soccer', ' secretly', ' upside']",1,4,"['a', 'soccer', 'secretly', 'upside']"
6,o,I am feeling clumsy today. I think,it is the end of the world.,I didn't get enough sleep.,have a lot of troubles.,I am secretly a panda.,2,1,1,"['world', 'didnt', 'troubles', 'panda']",1,1,"[' end', ' didn', ' have', ' secretly']",1,1,"['end', 'didnt', 'a', 'panda']"
7,o,The woman is now blow drying the dog. The dog,is live tweeting the action.,seems increasingly happy as his sogginess decreases.,is preparing to take the GRE.,isn't necessarily a professor of neuroscience.,2,3,4,"['tweeting', 'sogginess', 'gre', 'isnt']",4,2,"[' live', ' increasingly', ' GRE', ' professor']",3,4,"['tweeting', 'sogginess', 'GRE', 'isnt']"
8,o,Doug likes nachos.  He,keeps his coin collection inside.,uses them as a missile defense system.,pours milk all over them for crispiness.,enjoys the chips and melted cheese.,4,2,2,"['inside', 'system', 'crispiness', 'cheese']",2,2,"[' He', ' missile', ' crisp', ' He']",2,2,"['coin', 'a', 'crispiness', 'melted']"
9,q,My brother is three years younger than me. I,feel jealous that I was always more successful than him.,will be forty when he is thirty.,wonder if his name is Henry.,remember being an only child before he was born.,4,4,1,"['him', 'thirty', 'henry', 'born']",4,4,"[' jealous', ' forty', ' wonder', ' before']",4,1,"['jealous', 'he', 'Henry', 'he']"
