startphrase,ending1,ending2,ending3,ending4,label,min_surprisal_gpt2,min_surprisal_t5,min_surprisal_bert
"He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot","He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot spins out of his grasp.","He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot comes down on it.","He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot flies from his grasp.","He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot is hurled to the surface.",2,2,2,2
"Knocked off balance, someone is kicked away by someone. The crowd on the bridge","Knocked off balance, someone is kicked away by someone. The crowd on the bridge closes windows behind him.","Knocked off balance, someone is kicked away by someone. The crowd on the bridge rises 20 feet away.","Knocked off balance, someone is kicked away by someone. The crowd on the bridge looks up at him.","Knocked off balance, someone is kicked away by someone. The crowd on the bridge stops the little boy inside.",3,3,1,3
A man jumps over stairs and runs into the camera. A man falls and another,A man jumps over stairs and runs into the camera. A man falls and another man demonstrates how to move.,A man jumps over stairs and runs into the camera. A man falls and another goes down the slide.,A man jumps over stairs and runs into the camera. A man falls and another throws a machine gun.,A man jumps over stairs and runs into the camera. A man falls and another pass on a bridge.,1,3,4,2
We see a man wave and another on a bull horn. The club lights flash and a band,We see a man wave and another on a bull horn. The club lights flash and a band poses watching the group.,We see a man wave and another on a bull horn. The club lights flash and a band is in the circle clapping.,We see a man wave and another on a bull horn. The club lights flash and a band dances in the sky.,We see a man wave and another on a bull horn. The club lights flash and a band plays music as people dance.,4,3,3,3
A man jumps over stairs and runs into the camera. A man falls and another,A man jumps over stairs and runs into the camera. A man falls and another throws a machine gun.,A man jumps over stairs and runs into the camera. A man falls and another runs into the camera.,A man jumps over stairs and runs into the camera. A man falls and another pass on a bridge.,A man jumps over stairs and runs into the camera. A man falls and another woman runs into the house.,2,2,3,2
One man jumps over a chained sidewalk while rollerblading. A couple is rollerblading on a sidewalk and another man,One man jumps over a chained sidewalk while rollerblading. A couple is rollerblading on a sidewalk and another man is showing him the viewers.,One man jumps over a chained sidewalk while rollerblading. A couple is rollerblading on a sidewalk and another man tries to get between them.,One man jumps over a chained sidewalk while rollerblading. A couple is rollerblading on a sidewalk and another man is doing acrobatics tricks.,One man jumps over a chained sidewalk while rollerblading. A couple is rollerblading on a sidewalk and another man hits the man on the act.,2,2,3,1
It is sweltering now in the greenhouse. The hood,It is sweltering now in the greenhouse. The hood is being styled by a soldier.,It is sweltering now in the greenhouse. The hood is wedged against the wall.,It is sweltering now in the greenhouse. The hood is turned upside down.,It is sweltering now in the greenhouse. The hood is drenched with sweat.,4,3,4,3
"Someone lies down in front of the fire and pets a wolf hound lying next to him. Resting his head on his hand, he","Someone lies down in front of the fire and pets a wolf hound lying next to him. Resting his head on his hand, he looks to the curtain.","Someone lies down in front of the fire and pets a wolf hound lying next to him. Resting his head on his hand, he grabs someone's gun.","Someone lies down in front of the fire and pets a wolf hound lying next to him. Resting his head on his hand, he runs to the road below.","Someone lies down in front of the fire and pets a wolf hound lying next to him. Resting his head on his hand, he takes his right leg.",1,4,2,1
We see an indoor hockey game. The goalie blocks a shot and a handful of players,We see an indoor hockey game. The goalie blocks a shot and a handful of players fight over the puck.,We see an indoor hockey game. The goalie blocks a shot and a handful of players hits the ball up and down.,We see an indoor hockey game. The goalie blocks a shot and a handful of players run across the net.,We see an indoor hockey game. The goalie blocks a shot and a handful of players give him high balls.,1,1,3,1
A person flips over another person and gets thrown into the bushes. A person in a red shirt,A person flips over another person and gets thrown into the bushes. A person in a red shirt explodes in the sky.,A person flips over another person and gets thrown into the bushes. A person in a red shirt starts running towards them.,A person flips over another person and gets thrown into the bushes. A person in a red shirt slides down onto the slide.,A person flips over another person and gets thrown into the bushes. A person in a red shirt walks down a lane.,2,2,4,2
She gives him a kiss and trips over the front step. She,She gives him a kiss and trips over the front step. She gets off the chair.,She gives him a kiss and trips over the front step. She beams and her eyes widen.,She gives him a kiss and trips over the front step. She hands him a clipboard.,She gives him a kiss and trips over the front step. She heads off into the night.,4,3,1,3
He points at the door. Outside Woodchuck someone,He points at the door. Outside Woodchuck someone descends up to the car.,He points at the door. Outside Woodchuck someone sleeps in his bed.,He points at the door. Outside Woodchuck someone puts his arm around someone.,He points at the door. Outside Woodchuck someone steals a gun from her bag.,3,2,2,3
Someone opens his front door. They,Someone opens his front door. They walk to the trailer.,Someone opens his front door. They hold up clothes as they kiss.,Someone opens his front door. They lie asleep on the bed.,Someone opens his front door. They embrace their beaming guests.,4,1,1,1
Someone opens his front door. They,Someone opens his front door. They walk to the trailer.,Someone opens his front door. They lie asleep on the bed.,Someone opens his front door. They hold up clothes as they kiss.,Someone opens his front door. They are dressed as people.,4,1,1,4
"People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd walks on an unpaved road.","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd follows the man with the bow.","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd cheers for the goalies.","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd breathe as he talks.",1,2,4,2
"People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd cheers for the goalies.","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd breathe as he talks.","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd follows the man with the bow.","People speaks in the tv, and a crowd appears covered the face and holding firearms. Mr Kissinger and other man speaks, and then the crowd begin to cheer performances.",4,3,4,3
Someone jumps in front of him. A full moon,Someone jumps in front of him. A full moon shines through the water.,Someone jumps in front of him. A full moon looms through the sky.,Someone jumps in front of him. A full moon casts his hand down the sky.,Someone jumps in front of him. A full moon roars across the bodies.,2,1,1,1
It sprawls across the floor. Someone,It sprawls across the floor. Someone staggers from the darkness.,It sprawls across the floor. Someone moves up from the visitor.,It sprawls across the floor. Someone lies in her bra.,It sprawls across the floor. Someone tosses her robe to her.,1,1,3,3
"At the Bugle, a headline is being composed. Someone","At the Bugle, a headline is being composed. Someone 's on the phone.","At the Bugle, a headline is being composed. Someone stops at one of the steps.","At the Bugle, a headline is being composed. Someone manages to read but has gone.","At the Bugle, a headline is being composed. Someone uncurls a root for them.",1,1,1,2
